grid_x,grid_y,death_count
4461,6209,244
4462,6297,243
4344,6259,243
4250,3270,243
4216,3248,243
4450,6234,243
4478,6294,242
4443,6219,242
5705,3888,242
4326,6376,242
4474,6211,242
4468,6293,242
6262,3782,242
4490,6211,242
4199,3243,241
4450,6239,241
4638,6503,241
4232,3243,241
4222,3246,241
4510,6210,241
4504,6297,241
4477,6292,240
6275,3789,240
4192,3243,240
4450,6235,240
4184,3288,240
4205,3267,240
4450,6275,239
4473,6297,239
4416,3380,239
4505,6293,239
4237,3259,239
4505,6208,239
4203,3264,239
4515,6297,239
4442,6220,238
6266,3783,238
4463,6207,238
4517,6209,238
4642,6502,238
4204,3252,238
4475,6208,238
4229,3245,238
4200,3268,237
4506,6294,237
4509,6293,237
4201,3270,237
4504,6295,236
4203,3252,236
4236,3267,236
4236,3262,236
4449,6231,236
4244,3270,236
4491,6293,235
4206,3242,235
4353,6251,235
4452,6268,235
4203,3270,235
6256,3784,235
3625,3935,235
4202,3260,234
4212,3242,234
4473,6292,234
4203,3243,234
4237,3258,234
4471,6209,233
4201,3269,233
4468,6210,233
4468,6298,233
4240,3255,233
3670,5844,233
4234,3264,233
4640,6502,233
6272,3783,233
4230,3243,233
4451,6269,232
4236,3261,232
4203,3242,232
4470,6210,232
4325,6375,231
4487,6209,231
4240,3253,231
4448,6279,231
4514,6211,231
4465,6213,230
4237,3256,230
4514,6295,230
4237,3251,230
4214,3250,230
4491,6291,230
6226,3788,230
4474,6294,230
4213,3245,230
4490,6210,229
4213,3243,229
3660,4109,229
4450,6269,229
4488,6212,229
4205,3242,229
4480,6211,229
4210,3242,228
4418,3381,228
4460,6293,228
6258,3783,228
4472,6294,228
4487,6208,228
4468,6208,228
4452,6281,228
4512,6293,227
4472,6210,227
4237,3263,227
6231,3787,227
4318,6282,227
4464,6295,227
4237,3252,227
4315,6284,227
4505,6296,226
4204,3251,226
4193,3248,226
3661,4109,226
4451,6277,226
4237,3262,225
4213,3242,225
4518,6294,225
4236,3278,225
4236,3247,225
4223,3246,225
4237,3264,225
4459,6220,225
4468,6205,224
4508,6293,224
4500,6207,224
4314,6284,224
6247,3024,224
4442,6219,224
4479,6296,224
4237,3253,224
4201,3271,224
4196,3244,224
3661,4115,224
4203,3255,224
4355,3380,223
4437,6276,223
6262,3784,223
6267,3783,223
4195,3242,223
4218,3246,222
4196,3247,222
4464,6206,222
4326,6373,222
6274,3789,222
1516,3151,222
4204,3242,222
1518,3187,221
4640,6499,221
4452,6224,221
4463,6214,221
4191,3243,221
4326,6274,221
4450,6232,221
4200,3272,221
1516,3152,220
4514,6291,220
4450,6231,220
4473,6210,220
4509,6208,220
4505,6292,220
4212,3241,220
4360,3380,219
4237,3249,219
4450,6277,219
4205,3253,219
4205,3251,219
4203,3241,219
4191,3248,219
5749,3806,219
4197,3268,218
4189,3246,218
4202,3249,218
4356,3382,218
4204,3265,218
4474,6210,218
4318,6351,218
6261,3782,217
4466,6293,217
3660,4115,217
4222,3247,217
4474,6212,217
6873,4617,217
4217,3246,217
4243,3270,217
4470,6293,216
1515,3150,216
4194,3248,216
4487,6213,216
4511,6211,216
4202,3270,216
4515,6211,216
4238,3273,216
3453,5594,216
4510,6291,216
4218,3249,215
5739,3801,215
6270,3781,215
4202,3242,215
4511,6205,215
4205,3241,215
3657,3965,215
4479,6295,215
3658,4112,215
4325,6381,215
4237,3261,215
4198,3245,215
6276,3788,215
4450,6225,214
4224,3241,214
4233,3265,214
4326,6381,214
4249,3270,214
4237,3257,213
4357,3389,213
4184,3247,213
4236,3256,213
6260,3786,213
4229,3242,213
4328,6376,213
5728,3843,213
4188,3248,213
4326,6379,213
4253,3267,213
4231,3253,213
4490,6212,212
4437,6259,212
4223,3243,212
4475,6209,212
4487,6293,212
4189,3248,212
4451,6230,212
4184,3242,212
4471,6294,212
6261,3786,212
4449,6264,211
4310,6290,211
4218,3248,211
4488,6208,211
4493,6291,211
4449,6265,211
4489,6212,211
4211,3241,211
4490,6292,211
4504,6294,211
4468,6204,211
6271,3783,211
4513,6209,211
4641,6499,210
4201,3267,210
4192,3248,210
4450,6262,210
6271,3782,210
4296,6366,210
4237,3260,209
4459,6219,209
4466,6202,209
4468,6299,209
4514,6210,209
4198,3250,209
4238,3255,209
4506,6208,209
4234,3277,209
4327,6376,209
